iteration,block,gen,kill,in,out
3,B14,{D10},"{D13, D14, D35, D38, D39, D42, D45, D46, D6, D9}","{D1, D4, D5, D8, D9}","{D1, D10, D4, D5, D8}"
3,B15,{},{},"{D1, D10, D4, D5, D8, D9}","{D1, D10, D4, D5, D8, D9}"
3,B16,{},{},"{D1, D10, D4, D5, D8}","{D1, D10, D4, D5, D8}"
3,B17,{D11},"{D15, D3, D4, D51}","{D1, D10, D4, D5, D8}","{D1, D10, D11, D5, D8}"
3,B18,{D12},"{D16, D21, D5, D52}","{D1, D10, D11, D5, D8}","{D1, D10, D11, D12, D8}"
3,B19,{},{},"{D1, D10, D11, D12, D5, D8}","{D1, D10, D11, D12, D5, D8}"
3,B20,{},{},{},{}
3,B21,{},{},{},{}
3,B22,{},{},{},{}
3,B23,{},{},{},{}
3,B24,{D13},"{D10, D14, D35, D38, D39, D42, D45, D46, D6, D9}",{},{D13}
3,B25,{D14},"{D10, D13, D35, D38, D39, D42, D45, D46, D6, D9}","{D13, D14}",{D14}
3,B26,{},{},{D14},{D14}
3,B27,{},{},{},{}
3,B28,{},{},{},{}
3,B29,{D15},"{D11, D3, D4, D51}",{},{D15}
3,B30,{D16},"{D12, D21, D5, D52}",{D15},"{D15, D16}"
3,B31,{},{},"{D15, D16}","{D15, D16}"
3,B32,{},{},"{D15, D16}","{D15, D16}"
3,B33,{D17},"{D18, D19}","{D15, D16}","{D15, D16, D17}"
3,B34,{D18},"{D17, D19}","{D15, D16}","{D15, D16, D18}"
3,B35,"{D19, D20, D21}","{D12, D16, D17, D18, D2, D5, D52}",{},"{D19, D20, D21}"
3,B36,{},{},{},{}
3,B37,{},{},{},{}
3,B38,{},{},{},{}
3,B39,{},{},{},{}
3,B40,{},{},{},{}
3,B41,{},{},{},{}
3,B42,{},{},{},{}
3,B43,{},{},{},{}
3,B44,"{D22, D23}",{},{},"{D22, D23}"
3,B45,{},{},{},{}
3,B46,{},{},{},{}
3,B47,{},{},{},{}
3,B48,{},{},{},{}
3,B49,{},{},{},{}
3,B50,{},{},{},{}
3,B51,{},{},{},{}
3,B52,{D24},{},{},{D24}
3,B53,{},{},{D24},{D24}
3,B54,"{D25, D26}",{D28},{D24},"{D24, D25, D26}"
3,B55,{D27},"{D31, D33}","{D24, D25, D26}","{D24, D25, D26, D27}"
3,B56,{D28},{D26},"{D24, D25, D26, D27}","{D24, D25, D27, D28}"
3,B57,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
3,B58,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
3,B59,"{D29, D30, D31}","{D27, D33}","{D24, D25, D26, D27, D28}","{D24, D25, D26, D28, D29, D30, D31}"
3,B60,{D32},{},"{D24, D25, D26, D27, D28, D29, D30, D31}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}"
3,B61,{},{},"{D24, D25, D26, D27, D28, D29, D30, D31, D32}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}"
3,B62,{D33},"{D27, D31}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}","{D24, D25, D26, D28, D29, D30, D32, D33}"
3,B63,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33}","{D24, D25, D26, D28, D29, D30, D32, D33}"
3,B64,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33}","{D24, D25, D26, D28, D29, D30, D32, D33}"
3,B65,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
3,B66,{D34},{D1},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
3,B67,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
3,B68,{},{},"{D24, D25, D26, D28, D29, D30, D32, D33, D34}","{D24, D25, D26, D28, D29, D30, D32, D33, D34}"
